Date,^J203.JO
2018-01-09,60113.6484375
2018-01-10,59979.62890625
2018-01-11,59606.01953125
2018-01-12,60083.12890625
2018-01-15,60240.9609375
2018-01-16,60649.6015625
2018-01-17,60924.4609375
2018-01-18,60922.55078125
2018-01-19,60912.87890625
2018-01-22,61060.28125
2018-01-23,61475.44140625
2018-01-24,61623.12890625
2018-01-25,61684.76953125
2018-01-26,61595.859375
2018-01-29,60806.8984375
2018-01-30,59546.23046875
2018-01-31,59506.12109375
2018-02-01,59258.37109375
2018-02-02,58656.8203125
2018-02-05,57113.73828125
2018-02-06,56377.2109375
2018-02-07,56886.44921875
2018-02-08,56635.69140625
2018-02-09,55902.62109375
2018-02-12,56206.76171875
2018-02-13,57208.96875
2018-02-14,57399.55078125
2018-02-15,59533.1015625
2018-02-16,59122.33984375
2018-02-19,58701.37109375
2018-02-20,57928.78125
2018-02-21,58605.96875
2018-02-22,58155.08984375
2018-02-23,58715.4609375
2018-02-26,58868.9296875
2018-02-27,59027.21875
2018-02-28,58325.08984375
2018-03-01,57923.16015625
2018-03-02,57744.69921875
2018-03-05,57912.3984375
2018-03-06,59242.859375
2018-03-07,58962.6484375
2018-03-08,58926.01171875
2018-03-09,59169.23046875
2018-03-12,59194.44921875
2018-03-13,59084.51171875
2018-03-14,58423.171875
2018-03-15,58203.76953125
2018-03-16,58101.01953125
2018-03-19,58088.421875
2018-03-20,58288.87109375
2018-03-22,57224.6015625
2018-03-23,56405.640625
2018-03-26,56176.4296875
2018-03-27,56050.7890625
2018-03-28,54763.96875
2018-03-29,55474.51953125
2018-04-03,54864.7890625
2018-04-04,54602.6796875
2018-04-05,55761.1484375
2018-04-06,55878.80859375
2018-04-09,56091.55859375
2018-04-10,56747.23828125
2018-04-11,56170.0703125
2018-04-12,56480.98046875
2018-04-13,56563.171875
2018-04-16,56733.46875
2018-04-17,56826.73828125
2018-04-18,57713.2890625
2018-04-19,57526.7890625
2018-04-20,57581.73046875
2018-04-23,57679.51171875
2018-04-24,57675.2109375
2018-04-25,56987.19140625
2018-04-26,57453.0390625
2018-04-30,58252.12109375
2018-05-02,58450.44140625
2018-05-03,57273.87890625
2018-05-04,57648.87109375
2018-05-07,57880.71875
2018-05-08,57665.23828125
2018-05-09,57915.12890625
2018-05-10,58005.62109375
2018-05-11,58422.859375
2018-05-14,58614.44921875
2018-05-15,57891.76953125
2018-05-16,58621.76953125
2018-05-17,58184.25
2018-05-18,57804.328125
2018-05-21,57821.19921875
2018-05-22,58121.83984375
2018-05-23,57043.421875
2018-05-24,56699.19921875
2018-05-25,56916.96875
2018-05-28,56857.23828125
2018-05-29,55935.75
2018-05-30,55601.62890625
2018-05-31,56157.890625
2018-06-01,57282.140625
2018-06-04,57870.890625
2018-06-05,57779.109375
2018-06-06,58081.87109375
2018-06-07,58391.640625
2018-06-08,58223.71875
2018-06-11,58146.1015625
2018-06-12,58207.8203125
2018-06-13,58437.23046875
2018-06-14,58495.671875
2018-06-15,57660.5
2018-06-18,57236.83984375
2018-06-19,56253.30859375
2018-06-20,56651.66015625
2018-06-21,56234.4296875
2018-06-22,56856.66015625
2018-06-25,55889.26171875
2018-06-26,55254.671875
2018-06-27,55369.26171875
2018-06-28,55795.19921875
2018-06-29,57610.98046875
2018-07-02,57159.58984375
